Name,type,price,vintage,alcohol,bottle size,country,region,grapespecies,producer,Text wine
El Porvenir Alto Los Cuises Malbec Cafayate,Still Red Wine,£37.99,2019,13.50%,75cl,Argentina,Cafayate,100% Malbec,El Porvenir De Cafayate,"Le Petit Bonbon Rose Vin de France - Le Petit Bonbon Rose Vin de France is a Subtly fruity, floral and smooth French Rosé. The palate shows fantastic lightness, freshness and subtle sweetness. With flavours of strawberry bonbons, raspberry sorbet and sweet peaches."
Finca La Colonia Coleccion Cabernet Franc,Still Red Wine,£11.99,2021,14%,75cl,Argentina,Mendoza,100% Cabernet Franc,Bodega Norton,"Casa Solar Tempranillo - The bouquet shows subtle vanilla and tobacco nuances express themselves under a layer of ripe red cherries, plums and spices. The palate is lively with velvety, smooth tannins. The finish is long, with lingering hints of liquorice and mint.Sold in single bottles"
Amauta Absoluto Malbec,Still Red Wine,£8.95,2021,14%,75cl,Argentina,Cafayate,100% Malbec,El Porvenir De Cafayate,"Ancora Rosato, Monferrato Chiaretto - Bright strawberry pink hue. Delicately aromatic with wild strawberry fruit characters. Light and crisp on the palate with ripe fruit balanced by tangy acidity.Sold in cases of six bottles"
Norton Cosecha Tardia,Sweet/Dessert,£7.99,2019,11%,37.5cl,Argentina,Mendoza,100% Chardonnay,Bodega Norton,
Andeluna Blanc De Franc Tupungato,Rose,£26.99,2020,12.50%,75cl,Argentina,Mendoza,100% Cabernet Franc,Andeluna Cellars,"Neudorf Moutere Pinot Noir - This wine is made from 100% organic certified, single vineyard Pinot Noir planted in clay gravel soil, hand harvested and wild fermented. It is matured in oak barrels, 20% of which are new, unfined, unfiltered, and vegan-friendly."
Otronia Pinot Noir,Still Red Wine,£47.99,2017,13.50%,75cl,Argentina,Patagonia,100% Pinot Noir,Bodega Otronia,"Catena Appellation Chardonnay - A deliciously rich, broad and tropical fruit-driven wine made with grapes from prime low-yielding vines, aged in 100% French oak barrels."
Catena Appellation Chardonnay,Still White Wine,£13.99,2019,13.50%,75cl,Argentina,Mendoza,100% Chardonnay,Catena,"Vallone Appassimento - Proper Appassimento with a ripe, southern and lightly savoury twist, this Puglian red comes from Vallone’s Tenuta Serranova estate, the home of Graticciaia, the region’s most famous Appassimento-style wine."
Matias Riccitelli Blanco de la Casa,Still White Wine,£21.59,2021,12.50%,75cl,Argentina,Patagonia,"Sauvignon Blanc 40%, Semillon 40%, Chardonnay 20%",Matias Riccitelli,"Bodegas Paniza El Campeon Syrah, Carinena - Bodegas Paniza El Campeon Syrah, A silky smooth Syrah delivering sublime aromatic complexity. Notes of violet, cassis, blackcurrant and blueberry are complemented by balsamic nuances and an elegant touch of minerality.Sold in cases of six bottles"
Bodega Norton Altura White Blend,Still Red Wine,£16.99,2020,13%,75cl,Argentina,Mendoza,50% Sauvignon Blanc - 30% Semillon - 20% Gruner Veltliner,Bodega Norton,Whitehall Vineyard Madeline May Chardonnay - Whitehall Vineyard Madeline May Chardonnay is a well balanced and complex wine with notes of citrus and stone fruits complimenting good mineralogy and a medium body providing a fresh clean finish.Sold in single bottles
Amauta Absoluto Tannat,Still Red Wine,£8.95,2020,14.50%,75cl,Argentina,Cafayate,Tannat,El Porvenir De Cafayate,"Argento Malbec Rose - This sophisticated Malbec Rose offers intense aromas of fresh red berries, with concentrated cherry fruit flavours and a hint of melon. A beautifully balanced wine with crisp acidity and a lively finish."
Otronia 45 Rugientes Pinot Noir,Still Red Wine,£23.49,2018,13.50%,75cl,Argentina,Patagonia,100% Pinot Noir,Bodega Otronia,"Esquinas de Argento Pinot Grigio - This delicious Pinot Grigio comes from the high-altitude vineyards in Mendoza, where the cool desert climate confers delicate floral aromas on the wine, as well as refreshing fruit flavours of tangerines and melon combined with clean mineral notes, and a crisp finish.Sold in single bottles"
Pulenta Estate XIV Pinot Gris,Still White Wine,£12.29,2021,12.50%,75cl,Argentina,Mendoza,100% Pinot Gris,Pulenta Estate,"Domaine Drouhin Roserock Chardonnay - The Roserock Chardonnay is a confident expression of the excellent vintage. On the nose and the palate, the wine is inviting, engaging, and intriguing – in short, the kind of experience one hopes for in a wine. The aromatics range from classic white flowers to tart lemon meringue. At its core, there is texture and energy, buoyed by bright acidity and well-integrated oak.Sold in single bottles"
Pulenta Estate III Cabernet Sauvignon,Still Red Wine,£17.59,2019,14.50%,75cl,Argentina,Mendoza,100% Cabernet Sauvignon,Pulenta Estate,"Unico Zelo Tropo Big Red - Unico Zelo Tropo Big Red has plenty of blue fruit on show with a near-even split of Syrah and Merlot from Birdwood. There's a herbal edge and lovely dusting of olive tapenade, a signature of Merlot. The tannin extraction has been restrained to keep this in a cool climate style with plenty of drinkability.Sold in single bottles"
Amauta Corte IV Innovacion Cabernet Franc Malbec,Still Red Wine,£13.75,2019,14%,75cl,Argentina,Cafayate,"Cabernet Franc 60%, Malbec 40%",El Porvenir De Cafayate,"Ancora Pinot Grigio Rose - Wonderfully easy drinking Pinot Grigio rose. A dry, fresh and fruity rose with delicate aromas of red berries. Crisp and lively on the palate with good intensity of ripe berry and red cherry fruit."
Pasarisa Patagonia Merlot,Still Red Wine,£12.99,2018,14%,75cl,Argentina,Patagonia,100% Merlot,Catena,"Pasion De Bobal Rosado - Bright raspberry in colour, with delicate aromas of strawberries and cherries, together with hints of rose and violet. The palate is well balanced with just the right amount of acidity and heat from the alcohol, which is so important in a quality rosé. The soft minerality works to add some palate weight, before lemony acidity results in a clean refreshing finish.Sold in cases of six bottles"
Estampado White Blend,Still White Wine,£6.39,2020,13.50%,75cl,Argentina,Mendoza,Blend 100%,Boutinot Argentina,"Bibi Graetz Bugia IGT Toscana Bianco - Bugia comes from the selection of the best vineyards, 90 years old, on Giglio Island, Tuscany. It is rich in minerality, due to the granite soil of the island and the its climate. The grapes are hand-picked, soft pressed and fermented in stainless steel tanks, only a 10% goes in French barriques.Sold in cases of six bottles"
Pulenta Estate VIII Chardonnay,Still White Wine,£12.39,2021,13.50%,75cl,Argentina,Mendoza,100% Chardonnay,Pulenta Estate,"Pilferer Pinot Noir Marlborough - A fine, vibrant, fruit filled organic Pinot Noir from Marlbrorough. Polished yet with soul and complxity."
Bodega Catena Zapata Malbec Argentino 2019,Still Red Wine,£64.49,2019,14%,75cl,Argentina,Mendoza,100% Malbec,Catena,Lomond Wines Pincushion Sauvignon Blanc Cape Agulhas - Lomond Wines Pincushion Sauvignon Blanc Cape Agulhas has intense notes of passionfruit are layered with citrus nuances and the distinctive oyster-shell minerality that comes from the Cape Agulhas vineyards.Sold in cases of six bottles
Pasarisa Patagonia Pinot Noir,Still Red Wine,£13.79,2017,14%,75cl,Argentina,Patagonia,100% Pinot Noir,Catena,"Romandiola Pignoletto Frizzante Emilia Romagna - An attractive and delicately floral bouquet on the nose, leading to a crisp, refreshing flavour with a soft, full and harmonious palate. Delicately sparkling, this is a cross between Pinot Grigio and Prosecco in style.Sold in single bottles"
Bodega La Flor Sauvignon Blanc Pulenta,Still White Wine,£11.99,2021,13%,75cl,Argentina,Mendoza,100% Sauvignon Blanc,Pulenta Estate,"93, James Suckling | 93, Wine Advocate "
Pulenta Estate VII Gran Corte,Still Red Wine,£32.69,2018,14.50%,75cl,Argentina,Mendoza,"44% Malbec, 25% Cabernet Sauvignon, 19% Merlot, 7% Petit Verdot and 5% Tannat",Pulenta Estate,BEST UK PRICE GUARANTEED!
Riccitelli Old Vines From Patagonia Merlot,Still Red Wine,£32.99,2018,14.50%,75cl,Argentina,Patagonia,100% Merlot,Matias Riccitelli,"Rocky Point Pinot Noir - Deep ruby in colour the Rocky Point shows bright red berry, cherry, floral and spice aromas on the nose leading to a smooth palate. On the palate, rich fruit flavours are complemented by spice and dried herb notes leading on to a long rich finish.Sold in cases of 12 bottles"
Finca La Colonia Coleccion Gruner Veltliner,Still White Wine,£11.19,2020,12.50%,75cl,Argentina,Mendoza,Gruner Veltliner,Bodega Norton,"Weingut Robert Weil Rheingau Riesling Trocken - Charming, fruit-driven Riesling whose balanced, tangy flavors means one glass is never quite enough; a merry table companion to a wide range of cuisines, or equally enjoyable when served solo and chilled in a quality glass on its own."
Otronia Chardonnay,Still White Wine,£46.99,2017,14%,75cl,Argentina,Patagonia,100% Chardonnay,Bodega Otronia,AS SEEN IN THE GUARDIAN ON SATURDAY 7th AUGUST
Pulenta Estate X Gran Malbec,Still Red Wine,£29.99,2018,14.50%,75cl,Argentina,Mendoza,100% Malbec,Pulenta Estate,"Queiron Ensayos Capitales 2 Tempranillo Blanco - Queiron Ensayos Capitales 2 Tempranillo Blanco has appealing aromas of dried apricot, honey, almond, white flower and brioche. The palate is complex and textural, with layers of ripe stone fruit, nutmeg and white spice over bright acidity - with well-integrated, lightly toasty notes. All leading to a long, elegant and voluptuous finish."
Riccitelli Old Vines From Patagonia Semillon,Still White Wine,£36.49,2021,13%,75cl,Argentina,Patagonia,Semillon 100%,Matias Riccitelli,"Saddle Creek Semillon Chardonnay - A delicate blend of herbaceous Semillon and exotic tropical Chardonnay fruit characters with subtle oak complexity balanced by a crisp, fresh finish."
Zorzal Eggo Blanc de Cal Sauvignon Blanc,Still White Wine,£16.39,2018,13%,75cl,Argentina,Mendoza,100% Sauvignon Blanc,Zorzal,"Vinas del Cambrico Rufete Villanueva - Ruby red in the glass with aromas of strawberries, balsamic and hints of mint and fresh floral. Flavours of mixed red berries and herbs with harmonious balanced tannins and a long finish."
Dona Paula Altitude 1100 Mendoza,Still Red Wine,£19.49,2019,14%,75cl,Argentina,Mendoza,"Malbec 60%, Syrah 30%, Cabernet Sauvignon 10%",Dona Paula,Badiola Vino de Pueblo Leza L3Z4 Rioja Alavesa - Badiola Vino de Pueblo Leza L3Z4 Rioja Alavesa is a balanced and smooth wine delivering rich aromas of dark cherries complemented by delicate hints of spice and herbal notes of thyme and rosemary.Sold in cases of six bottles
Pasarisa Salta Torrontes,Still White Wine,£12.49,2021,14%,75cl,Argentina,Patagonia,100% Torrontes,Catena,As featured in The Guardian 
Matias Riccitelli This is Not Another Lovely Malbec,Still Red Wine,£12.99,2021,13.50%,75cl,Argentina,Mendoza,100% Malbec,Matias Riccitelli,"Badiola Vino de Pueblo Villabuena V1BN4 Rioja Alavesa - Badiola Vino de Pueblo Villabuena V1BN4 Rioja Alavesa has precise and pure red berry aromas lead to a supple and elegant palate, with spicy nuances, finely grained tannins and an amazing flow through to the finish.Sold in cases of six bottles"
Finca Perdriel Sauvignon Blanc,Still White Wine,£13.89,2020,13%,75cl,Argentina,Mendoza,100% Sauvignon Blanc,Bodega Norton,"Fleurie, Georges Duboeuf, Clos des Quatres Vents - Full bodied for Fleurie, with plenty of oomph to match the trademark floral character, and complex nuances, both savoury and fruity, on the palate.Sold in single bottles"
Matias Riccitelli Riccitelli & Father,Still Red Wine,£53.99,2018,14.50%,75cl,Argentina,Mendoza,"Malbec 70%, Cabernet Franc 30%",Matias Riccitelli,"Badiola Las Parcelas Rioja Alavesa - Badiola Las Parcelas Rioja Alavesa haa pure and intense aromas of dark cherry and blackberry are complemented by violet and clove highlights. On the palate the wonderful fruit concentration is balanced by fresh acidity, with characterful chalky tannins leading to a long, mineral finish.Sold in cases of six bottles"
Passo Blanco Masi Tupungato,Still White Wine,£10.89,2020,12.50%,75cl,Argentina,Mendoza,Pinot Grigio/Torrontes,Masi Tupungato,"Pedrera Monastrell Bodegas Juan Gil - A medium bodied red from the Jumilla region of southern Spain. Ripe, juicy and forward with aromas of red berries. Fresh, forward, and easy to drink, with ripe plummy fruit and a hint of spice and chocolate on the finish.Sold in cases of six bottles"
Nieto DOC Malbec,Still Red Wine,£9.99,2019,14.50%,75cl,Argentina,Mendoza,100% Malbec,Nieto Senetiner,"Itinera Prosecco Rose - A fragrant, fruity, delicate sparkling rosé wine with flavours of strawberries, raspberries and passionfruit. A fine Prosecco RoséSold in single bottles"
Molinillo Malbec,Still Red Wine,£8.09,2021,14%,75cl,Argentina,Mendoza,100% Malbec,Boutinot Argentina,"Alpha Box & Dice The Mistress Red South Australia - Black olives tapenade, dried herbs and rustic strawberries on the nose followed by dusty tannins, soft acidity, prunes, cherries and darker fruits on the palate!"
Paula Sauvignon Blanc Vina Dona Paula,Still White Wine,£9.25,2020,11.50%,75cl,Argentina,Mendoza,100% Sauvignon Blanc,Dona Paula,"Prados Fusion Garnacha Syrah Campo de Borja - Dark ruby in colour, Prados Fusion offers a rich, fruity nose with Mediterranean red fruits enhanced by hints of sweet spice. The palate seduces with layers of juicy red fruits, smooth and silky tannins and a long finish.Sold in single bottles"
Bodega La Flor Cabernet Sauvignon Pulenta,Still Red Wine,£12.29,2020,14%,75cl,Argentina,Mendoza,100% Cabernet Sauvignon,Pulenta Estate,"Tenuta Aquilaia Ciliegiolo - Appealing wild cherry aromas, lightly floral with a hint of black pepper. The palate has juicy sour cherry and raspberry fruit with supple tannins, lightly savoury on the finish."
Porteno Sauvignon Blanc Bodega Norton,Still White Wine,£10.39,2021,13.50%,75cl,Argentina,Mendoza,Sauvignon Blanc,Bodega Norton,"Raymond R Collection Chardonnay - Bright aromas of citrus, green apple and tropical fruit are followd by notes of vanilla and honeysuckle. Crisp, with a beautiful minerality, tangy citrus notes and a touch of vanilla on the exquisitely balanced palate, this wine is smooth to the finish.Sold in single bottles"
Pulenta Estate XI Gran Cabernet Franc,Still Red Wine,£29.49,2018,14.50%,75cl,Argentina,Mendoza,100% Cabernet Franc,Pulenta Estate,"Tenuta Aquilaia Maremma Toscana - A great value, vibrant young red from Tuscany's new frontier."
The Apple Doesn'T Fall Far From The Tree Torrontes,Still White Wine,£12.99,2020,14%,75cl,Argentina,Mendoza,100% Torrontes,Matias Riccitelli,"The Paddock Shiraz - Rich and juicy, this punchy Shiraz from Australia goes down like a treatSold in cases of 12 bottles"
Pulenta Estate I Malbec,Still Red Wine,£17.89,2019,14.50%,75cl,Argentina,Mendoza,100% Malbec,Pulenta Estate,"Ridge Vineyards Lytton Springs Zinfandel - Blackberry, pepper and licorice notes on nose. Full-bodied with ripe plum, well integrated tannins and long, lingering finish."
Fico Grande Sangiovese di Romagna Poderi dal Nespoli,Still Red Wine,£7.99,12.50%,,ly,Emilia Romagna,"95% Sangiovese, 5% Cabernet Sauvignon",er: Poderi Dal Nespoli,,"Fico Grande Sangiovese di Romagna Poderi dal Nespoli - This is a soft and supple wine from Emilia Romagna. It carries lovely red fruit characteristics and a hint of spice and pepper, followed by long, smooth tannins.Sold in cases of 12 bottles"
Catena La Consulta Appellation Malbec,Still Red Wine,£14.59,2019,13.50%,75cl,Argentina,Mendoza,100% Malbec,Catena,"Cave de Tain Cornas Les Arenes Sauvages - This is a serious bottle of wine with plenty of structure and shape but also with plenty of plush fruit to justify it. Deep dark red with an intense nose of raspberries, spice and a hint of graphite. The palate has more black fruits (blackberry and cherry), pepper and toast. Approachable but evident tannins and for drinking now but with the potential to age very well."
VistaFlor Sauvignon Blanc Chenin Blanc,Still White Wine,£9.49,2020,12.50%,75cl,Argentina,Mendoza,50% Sauvignon Blanc/50% Chenin Blanc,Bodega Norton,"Lake Chalice The Raptor Chardonnay Marlborough - A full bodied Chardonnay with complex aromas of flint and ripe stone fruits, complemented by a subtle hint of mulled spice. The creamy palate is threaded with a balancing acidity and reveals layers of soft vanilla, tropical passionfruit and mango with delicious flinty overtones on the finish.Sold in single bottles"
Argento Single Vineyard Altamira Organic Malbec,Still Red Wine,£13.99,2019,13.50%,75cl,Argentina,Mendoza,100% Malbec,Argento Wine Company,"Domaine La Provenquiere Pur Cinsault sans sulfites ajoutes -  Domaine La Provenquiere Pur Cinsault sans sulfites ajoutes is an appealing, fruity wine bursting with aromas of vibrant red-berried fruit. Juicy notes of wild strawberry and redcurrant are complemented by sweet spice, silky tannins and a soft finish."
Finca La Colonia Torrontes,Still White Wine,£9.09,2021,13%,75cl,Argentina,Mendoza,100% Torrontes,Bodega Norton,"Indio Montepulciano d'Abruzzo Bove - Full bodied, smooth and elegant with notes of spice, vanilla, wild berries and prunes on the nose.Sold in single bottles"
Dona Paula Altitude 969 Mendoza,Still Red Wine,£19.49,2019,13.50%,75cl,Argentina,Mendoza,"Petit Verdot 55%, Bonarda 40%, Malbec 5%",Dona Paula,"Domaine de l'Aigle Gerard Bertrand Limoux Chardonnay - Domaine de l'Aigle Gerard Bertrand Limoux Chardonnay is a floral and aromatic Chardonnay with white peach flavours complemented by nutty, toasty tones and a lovely creamy texture. Fresh and light with mineral overtones through to an elegant finish.Sold in single bottles"
Finca La Colonia Sauvignon Blanc,Still White Wine,£9.49,2021,13.50%,75cl,Argentina,Mendoza,100% Sauvignon Blanc,Bodega Norton,"Lockwood Vineyard Chardonnay Monterey - Pale lemon yellow in colour, this Lockwood Vineyard Chardonnay has bright citrus and green apple aromas and flavours, along with a touch of crisp spice. The bright fruit with its clean acidity and minerality, leads to a refreshing, long finish. The perfect accompaniament to many seafood and chicken dishes.Sold in single bottles"
Dona Paula Altitude 1350 Mendoza,Still Red Wine,£19.49,2019,14%,75cl,Argentina,Mendoza,"Cabernet Franc 50%, Malbec 45%, Casavecchia 5%",Dona Paula,"Gouffier Cuvee Madeleine Bourgogne Blanc - Gouffier Cuvee Madeleine Bourgogne Blanc  is a classic and elegant white Burgundy, revealing ripe exotic fruit aromas complemented by delicate hints of oak spice. Its fresh style comes together with lovely fruit concentration to give good balance, with a smooth, round texture through to a long, persistent finish.Sold in single bottles"
Andeluna 1300 Chardonnay,Still White Wine,£11.69,2020,13.50%,75cl,Argentina,Mendoza,Chardonnay,Andeluna Cellars,"Bhilar Plots Rioja Blanco - A fantastic blend of Viura and Garnacha Blanca, the wine is yellow gold in colour, with high viscosity and white fruits on the nose with hint of guava. On the palate the wine is super fresh with loads of acidity and incredible length due to the density of the wine.Sold in cases of six bottles"
Pulenta La Flor Malbec,Still Red Wine,£12.29,2020,14.50%,75cl,Argentina,Mendoza,100% Malbec,Pulenta Estate,"Domaine Ferrand Lise Marie Pouilly-Fuisse - Domaine Ferrand Lise Marie Pouilly-Fuisse is an elegant Pouilly Fuissé showing aromas of fresh mint, peach and citrus that carry through to a fresh and mineral palate. A rich, complex and well balanced wine with remarkable vivacity on the finish.Sold in single bottles"
Andeluna 1300 Torrontes,Still White Wine,£11.69,2020,12%,75cl,Argentina,Mendoza,100% Torrontes,Andeluna Cellars,"Barros Special Reserve Port NV - Vibrant ruby colour with violet nuances. Presents a complex and sweet bouquet of red fruits. In the mouth it is intense, large, well structured and with a long aromatic persistence.Sold in single bottles"
Estampado Red Blend,Still Red Wine,£6.39,2021,13%,75cl,Argentina,Mendoza,"A blend of Bonarda, Cabernet and Tempranillo",Boutinot Argentina,"Domaine Berthelemot Puligny-Montrachet - A fabulous Puligny. White flowers, ripe orchard fruit and gentle lemon citrus on the nose, and a beautifully linear palate with a brilliant mineral tension. The ripe fruit character builds as the wine warms in your mouth, seasoned with a cleverly balanced hint of oak. Seductive and long.Sold in cases of six bottles"
Il Banchetto Rosso,Still Red Wine,£6.79,12%,,ly,Emilia Romagna,100% Sangiovese,er: Caviro,,"Il Banchetto Rosso - Produced in Emilia Romagna, this is a fresh, dry red with some classic Sangiovese character: crisp cherry and raspberry fruit with ripe tannins and a wave of refreshing acidity on the finish.Sold in cases of 12 bottles"
Pablo Y Walter Malbec 25cl Can,Still Red Wine,£3.29,2019,14%,25clcl,Argentina,Mendoza,100% Malbec,Bressia,"Othello Napa Valley Christian Moueix - Othello was born from the desire to produce a wine that could embody the greatness of Napanook Vineyard’s extraordinary terroir, while being both accessible and en-joyable in its youth. Made under the supervision of the Dominus Estate winemaking team, Othello is rich, elegant, and refreshing, expressing bright aromas of red fruit and round, silky tannins.Sold in single bottles"
Verne Malbec Nieto Senetiner,Still Red Wine,£8.99,2020,14.50%,75cl,Argentina,Mendoza,100% Malbec,Nieto Senetiner,Silver Medal at the 2019 Decanter World Wine Awards and 92 points
Cadus Vista Flores Appellation Chardonnay,Still White Wine,£12.49,2018,14%,75cl,Argentina,Mendoza,Chardonnay,Cadus,"Cave de Turckheim Grand Cru Brand Riesling - An elegantly complex and intensely satisfying drop! Classy Riesling from Alsace with plenty of ‘tension’, complexity and finesse. Grand Cru Brand is very much the Cave’s Grand Cru with grapes coming from its granitic slopes just behind the winery."
Walter Bressia Sylvestra Malbec,Still Red Wine,£9.99,2019,14.50%,75cl,Argentina,Mendoza,100% Malbec,Bressia,Petit Chablis Bernard Michaut - A second label from Domaine de la Motte but the same deliciously approachable Chardonnay fruit with the proper ‘tension’ and backbone you expect from good Chablis.
Bodega Bressia Monteagrelo Syrah,Still Red Wine,£13.49,2018,14.50%,75cl,Argentina,Uco Valley,100% Syrah,Bressia,"Bricco Rosso Dogliani - The nose is a medley of ripe plum, blackberry and fig, with sweet spices and a hint of Christmas cake. The palate has plenty of fresh, juicy plum and red berry fruit, and hints of dark chocolate on the finish. A concentrated style of Dolcetto with an attractively rustic character.Sold in cases of six bottles"
Catena Alta Chardonnay,Still White Wine,£20.99,2018,14%,75cl,Argentina,Mendoza,100% Chardonnay,Catena,Champagne Lelarge-Pugeot Les Meuniers de Clemence Extra Brut 1er Cru - This stunningly poised wine has a crisp palate which is beautifully balanced by intense fruitiness. it is full of green apple and lime juice. A mineral texture and a creamy mousse character lingers on the endless finish.Sold in single bottles
Cadus Signature Series Pinot Noir,Still Red Wine,£15.49,2019,13.50%,75cl,Argentina,Mendoza,100% Pinot Noir,Cadus,"Puligny-Montrachet Bernard Millot - Bright and beautiful, this Puligny-Montrachet from the small family domaine of Bernard Millot offers intense aromas of lime leaf and grilled nuts. The palate is concentrated yet lithely structured, with great precision and focus.Sold in single bottles"
Catena Chardonnay,Still White Wine,£12.99,2019,14%,75cl,Argentina,Mendoza,100% Chardonnay,Catena,"Champagne Lelarge-Pugeot Extra Brut 1er Cru Tradition NV - Pale golden yellow with a persistent effervescence, this creamy wine offers a good depth of flavour. Ripe, rich fruits dominate, complemented by an abundance of fresh apple, apricots and a tangy hint of orange zest. Harmoniously balanced, the texture is tight with an inviting streak of minerality and a crisp finish.Sold in single bottles"
Matias Riccitelli Tinto de la Casa,Still Red Wine,£21.79,2020,14%,75cl,Argentina,Mendoza,100% Malbec,Matias Riccitelli,Barbaresco Roncaglie Poderi Colla - The Colla family's prized south-facing Roncaglie vineyard is one of Barbaresco's most celebrated crus.
Dona Paula Estate Riesling Uco Valley,Still White Wine,£11.79,2021,11.50%,75cl,Argentina,Uco Valley,100% Riesling,Dona Paula,"Henners Brut English Sparkling Wine - Biscuity brioche on the nose, with delicate white flower and full fruit. Citrus, apple and leesy characters add complexity to the palate.Sold in cases of six bottles"
Catena Vista Flores Malbec,Still Red Wine,£13.89,2019,13.50%,75cl,Argentina,Mendoza,100% Malbec,Catena,"Prunotto Bansella Nizza - Bansella has an intense ruby red colour with dark highlights. The nose reveals rich aromas of plums along with violets, cocoa and licorice. The palate is full and balanced, soft with a fresh finish sustained by a vein of crispy acidity.Sold in single bottles"
Dona Paula Estate Sauvignon Blanc Tupungato,Still White Wine,£11.79,2021,11%,75cl,Argentina,Mendoza,100% Sauvignon Blanc,Dona Paula,Sommelier Wine Awards 2019 - Gold Medal Winner
El Camino Mendoza Malbec,Still Red Wine,£8.39,2020,14.50%,75cl,Argentina,Mendoza,100% Malbec,El Camino,"Marchesi di Gresy Gaiun Martinenga Barbaresco - Brilliant garnet red in colour with orange hues. The bouquet shows deep nuances of sweet tobacco, licorice and black pepper are mingled with chocolate and balsamic notes. This is an elegantly structured and harmonious wine, with a very fine and silky tannic texture.Sold in cases of six bottles"
